Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.326435312,103.764169,12/2/18,11:28:00 AM,Roadworks on Clementi Avenue 6 (towards Clementi Loop) after Clementi Loop. Avoid left lane.
Roadwork,1.27238932,103.8240624,12/2/18,11:23:00 AM,Roadworks on Lower Delta Road (towards Telok Blangah Rise) after Telok Blangah Way. Avoid left lane.
Roadwork,1.357073758,103.8817708,12/2/18,11:23:00 AM,Roadworks on Upper Serangoon Road (towards Sengkang) after Serangoon Viaduct.
Roadwork,1.432268446,103.7740356,12/2/18,11:23:00 AM,Roadworks on Woodlands Avenue 3 (towards Woodlands Checkpoint) after Woodlands Centre Road. Avoid right lane.
Roadwork,1.432057144,103.7721059,12/2/18,11:21:00 AM,Roadworks on Woodlands Avenue 3 (towards City) after Woodlands Ave 1. Avoid left lane.
Roadwork,1.284669794,103.7801554,12/2/18,11:19:00 AM,Roadworks on West Coast Highway (towards City) after Clementi Road. Avoid right lane.
Roadwork,1.390285351,103.7546344,12/2/18,11:18:00 AM,Roadworks on Woodlands Road (towards City) after Sungei Kadut Ave. Avoid left lane.
Roadwork,1.306632348,103.8834531,12/2/18,11:16:00 AM,Roadworks on Old Airport Road (towards Mountbatten Road) after Dakota Crescent. Avoid left lane.
Roadwork,1.278587594,103.7858587,12/2/18,11:16:00 AM,Roadworks on Pasir Panjang Road near Pasir Panjang Road/South Buona Vista Road Junction.
Roadwork,1.307724272,103.9196879,12/2/18,11:14:00 AM,Roadworks on Marine Parade Road (towards Marine Vista) after Marine Terrace.
Roadwork,1.325054767,103.9386702,12/2/18,11:13:00 AM,Roadworks on New Upper Changi Road (toward Changi) after Bedok North Avenue 3. Avoid right lane.
Roadwork,1.292152657,103.7677639,12/2/18,11:12:00 AM,Roadworks on Clementi Road (towards Pasir Panjang Road) after West Coast Highway. Avoid left lane.
Roadwork,1.344213146,103.8477981,12/2/18,11:07:00 AM,Roadworks on Braddell Road (towards Bishan Flyover) after Bishan Road. Avoid left lane.
Roadwork,1.340571955,103.7790187,12/2/18,11:03:00 AM,Roadworks on Jalan Anak Bukit (towards City) after Jalan Jurong Kechil. Avoid left lane.
Roadwork,1.288493196,103.8034338,12/2/18,11:01:00 AM,Roadworks on Queensway (towards Alexandra Road) after Mei Chin Road. Avoid left lane.
Roadwork,1.311768297,103.7915754,12/2/18,11:00:00 AM,Roadworks on North Buona Vista Road (towards Holland Drive) after Commonwealth Avenue West. Avoid right lane.
Roadwork,1.307916324,103.9209307,12/2/18,11:00:00 AM,Roadworks on Marine Parade Road (towards Marine Vista) after Siglap Road.
Roadwork,1.307308986,103.9173633,12/2/18,10:54:00 AM,Roadworks on Marine Parade Road (towards Marine Terrace) after Marine Vista. Avoid left lane.
Roadwork,1.328563734,103.9655404,12/2/18,10:52:00 AM,Roadworks on Xilin Avenue (towards Changi South Avenue 3) after ECP. Avoid right lane.
Roadwork,1.297220308,103.8853324,12/2/18,10:50:00 AM,Roadworks on Fort Road (towards ECP) after Meyer Road.
Roadwork,1.392378016,103.8500608,12/2/18,10:50:00 AM,Roadworks on Yio Chu Kang Road (towards Ang Mo Kio Street 65) after Ang Mo Kio Street 66. Avoid left lane.
Roadwork,1.390673887,103.8456047,12/2/18,10:48:00 AM,Roadworks on Yio Chu Kang Road (towards Ang Mo Kio Street 64) after Ang Mo Kio Street 65. Avoid right lane.
Roadwork,1.317389558,103.8629506,12/2/18,10:41:00 AM,Roadworks on Bendemeer Road (towards City) after Whampoa East. Avoid left lane.
Roadwork,1.348242778,103.7922447,12/2/18,10:41:00 AM,Roadworks on BKE (towards Woodlands) after PIE Entrance. Avoid lane 1.
Roadwork,1.321222303,103.8656535,12/2/18,10:41:00 AM,Roadworks on Bendemeer Road (towards City) after Geylang Bahru. Avoid left lane.
Roadwork,1.3122324,103.7731217,12/2/18,10:39:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid right lane.
Roadwork,1.311985434,103.7704671,12/2/18,10:38:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Clementi Avenue 2. Avoid right lane.
Roadwork,1.352255159,103.9414645,12/2/18,10:36:00 AM,Roadworks on Tampines Avenue 5 (towards Tampines Central 2) after Tampines Avenue 4. Avoid left lane.
Roadwork,1.286780386,103.8453943,12/2/18,10:35:00 AM,Roadworks on Eu Tong Sen Street (towards Merchant Road) after Havelock Road.
Roadwork,1.291506479,103.7705878,12/2/18,10:31:00 AM,Roadworks on Pasir Panjang Road (towards Pasir Panjang Drive). Avoid right lane.
Roadwork,1.302943132,103.8356591,12/2/18,10:31:00 AM,Roadworks on Orchard Road (towards Bras Basah Rd) after Scotts Road. Avoid right lane.
Roadwork,1.335154361,103.862163,12/2/18,10:31:00 AM,Roadworks on CTE (towards SLE) after PIE(Changi) Exit.
Roadwork,1.29145439,103.7706804,12/2/18,10:30:00 AM,Roadworks on Pasir Panjang Road (towards Pasir Panjang Drive). Avoid right lane.
Roadwork,1.361260248,103.8930336,12/2/18,10:29:00 AM,Roadworks on Hougang Avenue 3 (towards Tampines Road). Avoid right lane.
Roadwork,1.395604911,103.857571,12/2/18,10:28:00 AM,Roadworks on SLE (towards BKE) after TPE Exit. Avoid lane 1.
Roadwork,1.283352699,103.835855,12/2/18,10:26:00 AM,Roadworks on Outram Road (towards CTE). Avoid left lane.
Roadwork,1.29619828,103.8320318,12/2/18,10:25:00 AM,Roadworks on River Valley Road (towards Irwell Bank Road) after Leonie Hill.
Roadwork,1.29532473,103.8789751,12/2/18,10:24:00 AM,Roadworks on MCE (towards AYE) at Fort Rd Entrance.
Roadwork,1.316219543,103.8978545,12/2/18,10:23:00 AM,Roadworks on Changi Road (toward City) after Still Road. Avoid left lane.
Roadwork,1.30852429,103.8775868,12/2/18,10:22:00 AM,Roadworks on Guillemard Road near Guillemard Road/Lorong 8 Geylang Junction.
Roadwork,1.316448072,103.7646306,12/2/18,10:22:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Avenue 3. Avoid left lane.
Roadwork,1.31054609,103.7800208,12/2/18,10:17:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid left lane.
Roadwork,1.306272592,103.7938335,12/2/18,10:16:00 AM,Roadworks on Commonwealth Avenue (towards Tuas) after Commonwealth Drive. Avoid left lane.
Roadwork,1.338872177,103.9758347,12/2/18,10:15:00 AM,Roadworks on PIE (towards Changi Airport) at ECP(Airport) Exit.
