Type,Latitude,Longitude,Date,Time,Descriptions
Accident,1.285618212,103.8377751,22/2/2018,4:58:00 PM,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit with congestion till AYE Entrance. Avoid lane 1.
Heavy Traffic,1.328989892,103.823437,22/2/2018,4:48:00 PM,Heavy Traffic on PIE (towards Tuas) after Stevens Rd Exit
Vehicle breakdown,1.296196533,103.8578524,22/2/2018,4:34:00 PM,Vehicle breakdown on Nicoll Highway (towards Guillemard) after Middle Road. Avoid left lane.
Vehicle breakdown,1.408471589,103.771992,22/2/2018,4:19:00 PM,Vehicle breakdown on BKE (towards PIE) after Mandai Rd Exit.
Accident,1.337231721,103.8085208,22/2/2018,3:48:00 PM,Accident on PIE (towards Tuas) before Eng Neo Ave with congestion till Thomson Rd Exit. Avoid lane 1.
Roadwork,1.33995809,103.9811222,22/2/2018,3:45:00 PM,Roadworks on ECP (towards Changi Airport) after PIE Exit. Avoid lane 1.
Roadwork,1.300764587,103.9078476,22/2/2018,3:44:00 PM,Roadworks on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 1.
Roadwork,1.31636902,103.7613901,22/2/2018,3:37:00 PM,Roadworks on Clementi Avenue 6 (towards AYE) after Commonwealth Avenue West. Avoid left lane.
Roadwork,1.324198749,103.8099968,22/2/2018,3:10:00 PM,Roadworks on Bukit Timah Road (towards Woodlands) after Farrer Road. Avoid left lane.
Vehicle breakdown,1.284835937,103.8374556,22/2/2018,3:09:00 PM,Vehicle breakdown in CTE Tunnel (towards AYE) at Outram Rd Exit.
Roadwork,1.389109355,103.7536135,22/2/2018,2:54:00 PM,Roadworks on KJE (towards BKE) at Woodlands Rd Exit.
Roadwork,1.306414419,103.913718,22/2/2018,2:52:00 PM,Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace. Avoid right lane.
Roadwork,1.399402719,103.8562824,22/2/2018,2:52:00 PM,Roadworks on TPE (towards SLE) at Seletar West Link Exit.
Roadwork,1.337371309,103.9814218,22/2/2018,2:50:00 PM,Roadworks on PIE (towards Changi Airport) at ECP(City) Exit.
Vehicle breakdown,1.330172117,103.8630256,22/2/2018,2:48:00 PM,Vehicle breakdown on PIE (towards Tuas) after CTE(SLE) Exit.
